Name:	Publisher:	Verifier:	Video:	ID:	Tier:	Placement:	Victor: Silk?	Victor: HLHL?	Victor: Ava?	Victor: GERG?	Victor: Emea?	Victor: Cinder?	Requirement:		comma = multiple creators
DW 12 	HLHL	HLHL		120595620	16	58	DW 12	DW 12					100		level name in victor column = 100% record
Relue	StarFall100	Emea	https://www.youtube.com/watch?v=cknQJ-S4iGY	73601702	15	59	Relue				Relue		100		if victor and verifier overlap, do not put a record.
Bruno 2 	HLHL	SilkGMD		78347198	15	60	Bruno 2	Bruno 2					100		try to autocorrect any super similar names
Shitty I Suppose 	Fuclk	HLHL		72482689	15	62	Shitty I Suppose	Shitty I Suppose					100		
Moly 	HLHL	HLHL		83426867	15	63	Moly	Moly					100		
find the coin route 	HLHL	HLHL		88158890	15	64		find the coin route					100		
tims time x4 	KolaHD, Krmal, MrArmYT	ClawBuckle	https://www.youtube.com/watch?v=1jtUMN1FXAU	127130027	15	65		tims time x4					100		
No Spam Hell 	UFWM	HLHL		80291149	15	66		No Spam Hell					100		
Sakupen Hell First Wave 	Noobas, HLHL	HLHL	https://www.youtube.com/watch?v=mDTbpi03c9M	65320880	15	67	Sakupen Hell First Wave	Sakupen Hell First Wave				Sakupen Hell First Wave	100		
Twenty Nine	HLHL	HLHL	https://www.youtube.com/watch?v=4TJUHkI_cL0	94959916	15	68	Twenty Nine	Twenty Nine					100		
Trevor 	HLHL	HLHL	https://www.youtube.com/watch?v=uNU2JOgvyJU	119961276	15	69		Trevor	Trevor				100		
Shitty Sohh	justGDslayer1	SilkGMD		99930471	14	70	Shitty Sohh						100		
Alec Reborn 	brockGMD	brockGMD	https://www.youtube.com/watch?v=1KnK-kROekA&t=36s	72498680	14	71	Alec Reborn	Alec Reborn					100		
especially bad level 	HLHL	HLHL		97274839	14	72	especially bad level	especially bad level					100		
Ship Challenge 	HLHL	SilkGMD		95149878	14	73	Ship Challenge						100		
TW3 	SilkGMD	SilkGMD		75201070	14	74	TW3						100		
